package,fedora_patch,debian_patch,type,fedora_time,debian_time
expect,expect-5.45-format-security.patch,24-format.patch,similar,2017-03-24 10:40:45-04:00,2014-07-13 21:03:29+04:00
par2cmdline,0001-Fix-for-Github-issue-143.-Test-did-not-account-for-e.patch,03_backport_upstream_pr_144.diff,common,2020-07-15 09:23:52+02:00,2020-02-12 11:57:29+01:00
uucp,uucp-1.07-format.patch,compiler-warnings.patch,common,2013-12-03 09:00:00+01:00,2019-01-12 20:07:10+01:00
torsocks,torsocks-2.2.0-Do-not-run-tests-that-require-network-access.patch,exclude_test_requiring_network.patch,common,2017-10-05 10:09:02+02:00,2013-10-23 12:35:51+02:00
libcdio,realpath-test-fix.patch,Correct-realpath-test-failure.patch,common,2022-08-30 17:12:27+05:30,2022-09-27 09:23:37+00:00
uudeview,matherr.patch,049_glibc_2.27.diff,common,2018-03-16 10:28:18+01:00,2018-03-10 07:20:28+01:00
uudeview,uudeview-format-security.patch,043_string_format_issue.diff,common,2013-12-05 16:14:17+01:00,2016-07-12 15:15:37+02:00
incron,incron-0.5.12-prevent-zombies.patch,02_prevent_zombies.patch,common,2019-01-05 11:52:04-08:00,2019-11-13 08:24:02+01:00
vinagre,fix-appstream-data.patch,131d151cb02245f84918f9ba5b3ef055758bcf61.patch,common,2019-11-13 11:34:23+01:00,2020-02-13 12:44:32+01:00
milkytracker,milkytracker-1.03.00-c++11.patch,c++11.patch,common,2023-02-27 21:08:58+02:00,2021-11-30 12:20:34+01:00
